number,value,datetime_start,datetime_complete,duration,params_reg_coeff,params_regularization_index,params_weights,state
0,0.7522286821705427,2023-11-03 19:48:29.707094,2023-11-03 19:48:43.754563,0 days 00:00:14.047469,0.43127180291074935,1,False,COMPLETE
1,0.6203003875968992,2023-11-03 19:48:43.759527,2023-11-03 19:50:25.944566,0 days 00:01:42.185039,0.05515907128833297,1,True,COMPLETE
2,0.7722868217054263,2023-11-03 19:50:25.953572,2023-11-03 19:59:21.370054,0 days 00:08:55.416482,,0,True,COMPLETE
3,0.7718023255813954,2023-11-03 19:59:21.384055,2023-11-03 20:05:23.557259,0 days 00:06:02.173204,0.3902238593405214,2,True,COMPLETE
4,0.8249515503875968,2023-11-03 20:05:23.563265,2023-11-03 20:06:21.514521,0 days 00:00:57.951256,,0,False,COMPLETE
5,0.766860465116279,2023-11-03 20:06:21.524523,2023-11-03 20:09:28.626039,0 days 00:03:07.101516,,0,True,PRUNED
6,0.7688953488372093,2023-11-03 20:09:28.633042,2023-11-03 20:11:34.637442,0 days 00:02:06.004400,,0,True,PRUNED
7,0.7530523255813953,2023-11-03 20:11:34.643443,2023-11-03 20:20:11.549834,0 days 00:08:36.906391,,0,True,PRUNED
8,0.8250968992248061,2023-11-03 20:20:11.555837,2023-11-03 20:21:57.597082,0 days 00:01:46.041245,,0,False,COMPLETE
9,0.8085755813953489,2023-11-03 20:21:57.612052,2023-11-03 20:22:17.935602,0 days 00:00:20.323550,0.3374137638957441,2,False,COMPLETE
10,0.726453488372093,2023-11-03 20:22:17.945119,2023-11-03 20:22:24.817743,0 days 00:00:06.872624,0.13651506309985875,1,False,PRUNED
11,0.8285368217054264,2023-11-03 20:22:24.826742,2023-11-03 20:24:13.456553,0 days 00:01:48.629811,,0,False,COMPLETE
12,0.8253875968992248,2023-11-03 20:24:13.462554,2023-11-03 20:25:15.019678,0 days 00:01:01.557124,,0,False,COMPLETE
13,0.7058139534883721,2023-11-03 20:25:15.026676,2023-11-03 20:25:21.795593,0 days 00:00:06.768917,0.2279667549928328,1,False,PRUNED
14,0.8249999999999998,2023-11-03 20:25:21.801592,2023-11-03 20:26:30.407259,0 days 00:01:08.605667,,0,False,COMPLETE
15,0.75,2023-11-03 20:26:30.413263,2023-11-03 20:26:36.415534,0 days 00:00:06.002271,0.4923873807899569,1,False,PRUNED
16,0.8275193798449613,2023-11-03 20:26:36.421535,2023-11-03 20:27:38.887318,0 days 00:01:02.465783,,0,False,COMPLETE
17,0.8235465116279069,2023-11-03 20:27:38.893322,2023-11-03 20:29:36.024360,0 days 00:01:57.131038,0.005787153216382568,2,False,COMPLETE
18,0.8287306201550387,2023-11-03 20:29:36.032365,2023-11-03 20:31:01.123966,0 days 00:01:25.091601,,0,False,COMPLETE
19,0.7040697674418605,2023-11-03 20:31:01.135968,2023-11-03 20:31:08.149321,0 days 00:00:07.013353,0.28662802344183047,1,False,PRUNED
