number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_subsample,state
0,0.9256790431098928,2023-11-03 19:54:10.158535,2023-11-03 19:54:20.732092,0 days 00:00:10.573557,0.09670866439667515,gbtree,0.7576257613692254,0.8219581087087313,1.2846117193521263,depthwise,0.0010681768766976104,6,74,0.6571476572287688,COMPLETE
1,0.9303202093197109,2023-11-03 19:54:20.755090,2023-11-03 19:54:34.232320,0 days 00:00:13.477230,0.013834792166955637,gbtree,0.5441629464685265,0.5410170962260046,4.080857788238911,lossguide,1.3058254702438377,15,74,0.6473213421687154,COMPLETE
2,0.9019748317966607,2023-11-03 19:54:34.246320,2023-11-03 19:56:42.347681,0 days 00:02:08.101361,0.04633369604352366,dart,0.5840744487520837,0.5127198941043225,4.76786165105321,lossguide,0.01998505896960071,8,178,0.6439907424219772,COMPLETE
3,0.9386680787440818,2023-11-03 19:56:42.360688,2023-11-03 19:58:35.006242,0 days 00:01:52.645554,0.6787114669522033,dart,0.5910118759447712,0.8554895937979672,3.9778260048153657,depthwise,0.008093535211620624,20,68,0.6516891747642901,COMPLETE
4,0.9235920757538001,2023-11-03 19:58:35.015765,2023-11-03 19:58:44.586118,0 days 00:00:09.570353,0.012381698873482167,gbtree,0.9112780660800021,0.6914345713362992,0.11718976591979846,depthwise,0.047538324630856034,20,154,0.8745668179731314,COMPLETE
5,0.9382008472464491,2023-11-03 19:58:44.599115,2023-11-03 19:58:57.444849,0 days 00:00:12.845734,0.00951044248710495,gbtree,0.8121599850810488,0.7283337934394385,2.6106881846637666,lossguide,0.06923206614346153,12,100,0.8970991209566842,COMPLETE
6,0.9272364814353352,2023-11-03 19:58:57.463848,2023-11-03 19:59:25.749803,0 days 00:00:28.285955,0.9760713557173623,dart,0.6346312367484623,0.7369718665740619,2.4151820719805577,depthwise,0.0062901409464605025,11,140,0.8445340225945722,PRUNED
7,0.9009469225018689,2023-11-03 19:59:25.761321,2023-11-03 19:59:27.927188,0 days 00:00:02.165867,0.0064634527296709736,gbtree,0.729448189130745,0.5075552238407595,1.9726739980345527,depthwise,0.01235821914170584,13,300,0.8463869161422526,PRUNED
8,0.8664340892100673,2023-11-03 19:59:27.945198,2023-11-03 19:59:29.509003,0 days 00:00:01.563805,0.1537551848968578,gbtree,0.5875040096804933,0.823873360692926,4.759968205166313,lossguide,0.003427180183320377,16,298,0.5284513590682227,PRUNED
9,0.9150261649638675,2023-11-03 19:59:29.527008,2023-11-03 19:59:48.523763,0 days 00:00:18.996755,0.1364085274684473,dart,0.8892387769410869,0.8757718827589389,3.1691812487352182,lossguide,0.23060842863634057,5,133,0.8238776925631405,PRUNED
10,0.9744580114627461,2023-11-03 19:59:48.535762,2023-11-03 20:01:04.457919,0 days 00:01:15.922157,0.9390554623367189,dart,0.9956571878543689,0.9452481450871293,3.809036290996418,depthwise,0.0027217819701340967,20,8,0.9974638113896971,COMPLETE
11,0.9788188387739846,2023-11-03 20:01:04.469916,2023-11-03 20:02:31.198242,0 days 00:01:26.728326,0.9377260000563414,dart,0.999204082711782,0.9913687182013184,3.6951284211033224,depthwise,0.002007654191041844,20,1,0.9831099801486254,COMPLETE
12,0.9791614752055819,2023-11-03 20:02:31.207245,2023-11-03 20:04:03.284961,0 days 00:01:32.077716,0.001585247438706985,dart,0.9927911034383862,0.9853672955879758,3.5830238715234097,depthwise,0.001100709355632808,18,9,0.9995589996688117,COMPLETE
13,0.9777597807126838,2023-11-03 20:04:03.293485,2023-11-03 20:05:28.587886,0 days 00:01:25.294401,0.0015402458459211753,dart,0.9597438160436812,0.9713013302583269,3.3104400151062294,depthwise,0.0013968943177206587,17,14,0.9843305732429029,COMPLETE
14,0.9706890107151757,2023-11-03 20:05:28.597852,2023-11-03 20:06:53.587499,0 days 00:01:24.989647,0.001075505210672939,dart,0.9992805911212884,0.9886658144182459,3.256593942996511,depthwise,0.0010279545522778226,18,33,0.9408960997322888,COMPLETE
15,0.9196361824071767,2023-11-03 20:06:53.595507,2023-11-03 20:07:12.879780,0 days 00:00:19.284273,0.002779910682740746,dart,0.9208096960660697,0.9150938489949002,4.388427532720915,depthwise,0.0030377720605725715,18,194,0.9375899113615044,PRUNED
16,0.9201345626713182,2023-11-03 20:07:12.887778,2023-11-03 20:07:31.306390,0 days 00:00:18.418612,0.0038319793119666575,dart,0.8652067748017949,0.9944228683697746,3.529317427807395,depthwise,0.0036189941708984546,14,245,0.9960477569808585,PRUNED
17,0.9555507101918764,2023-11-03 20:07:31.319392,2023-11-03 20:08:51.713835,0 days 00:01:20.394443,0.03305789560068794,dart,0.9310523847752374,0.9280001718008424,4.916060980265943,depthwise,0.019095504989638357,10,37,0.7894339741798517,COMPLETE
18,0.9746137552952903,2023-11-03 20:08:51.722846,2023-11-03 20:10:15.832031,0 days 00:01:24.109185,0.3075640538906365,dart,0.8520868647692008,0.9952701664636897,4.123422342273895,depthwise,0.0024451302292006413,18,4,0.9104663002895952,COMPLETE
19,0.9649264889110392,2023-11-03 20:10:15.841066,2023-11-03 20:11:46.930953,0 days 00:01:31.089887,0.018593488579362112,dart,0.9662939816302308,0.9143590712028774,2.878060110798045,depthwise,0.007947751530976398,16,46,0.937040754248172,COMPLETE
20,0.9313481186145028,2023-11-03 20:11:46.943961,2023-11-03 20:12:05.280651,0 days 00:00:18.336690,0.04826088425764826,dart,0.9497765789818873,0.9395453123913561,3.582763010734525,depthwise,0.0014649723579147154,19,106,0.762633269293171,PRUNED
21,0.9778843757787191,2023-11-03 20:12:05.291986,2023-11-03 20:13:27.076208,0 days 00:01:21.784222,0.0013011378935809648,dart,0.972990632596081,0.9994552637220213,3.3589939470440093,depthwise,0.0015807875480254479,17,10,0.9972081119558277,COMPLETE
22,0.9643035135808621,2023-11-03 20:13:27.086206,2023-11-03 20:14:45.218860,0 days 00:01:18.132654,0.002422356212976611,dart,0.9761283061263832,0.9618205737162919,3.699125341659195,depthwise,0.0019047176796065774,16,44,0.9692496573312362,COMPLETE
23,0.9773236979815599,2023-11-03 20:14:45.227863,2023-11-03 20:16:02.600749,0 days 00:01:17.372886,0.0010418330226239334,dart,0.999966305191712,0.9946292811656154,4.35455771862947,depthwise,0.00104606139385312,18,1,0.9487614969659433,COMPLETE
24,0.958883628208323,2023-11-03 20:16:02.614750,2023-11-03 20:16:26.133926,0 days 00:00:23.519176,0.006753565569827673,dart,0.9376828044976695,0.8893453178284505,3.0331444034284942,depthwise,0.004607826300085623,14,62,0.9993268084051405,PRUNED
25,0.9390730127086967,2023-11-03 20:16:26.146922,2023-11-03 20:16:44.684316,0 days 00:00:18.537394,0.0040194229631936905,dart,0.8935997857535708,0.9565909185310874,3.5371943418702005,depthwise,0.0019742518938858232,19,105,0.8898722055742792,PRUNED
26,0.9759220034886618,2023-11-03 20:16:44.696564,2023-11-03 20:18:08.409949,0 days 00:01:23.713385,0.0020522482948856814,dart,0.9468238203477337,0.9109370290939842,2.779154362936402,lossguide,0.004969098681843814,17,16,0.9602484514519619,COMPLETE
27,0.966982307500623,2023-11-03 20:18:08.418947,2023-11-03 20:18:27.714527,0 days 00:00:19.295580,0.0015650775369908205,dart,0.964925111703447,0.9532906029325653,4.43364059731235,depthwise,0.0018058145670400176,19,31,0.9205087070927174,PRUNED
28,0.939820583104909,2023-11-03 20:18:27.723496,2023-11-03 20:18:47.017562,0 days 00:00:19.294066,0.004070514491473935,dart,0.9219714675265158,0.99594683253249,3.856829888223903,depthwise,0.002884442959461728,15,93,0.9640391777290953,PRUNED
29,0.9524046847744829,2023-11-03 20:18:47.031565,2023-11-03 20:18:49.218653,0 days 00:00:02.187088,0.020797342988043904,gbtree,0.8274473088515157,0.848525562000732,2.3349047562280782,depthwise,0.0011709043678035792,9,57,0.9130313639451175,PRUNED
30,0.9716857712434588,2023-11-03 20:18:49.239651,2023-11-03 20:20:02.496083,0 days 00:01:13.256432,0.08016955749762382,dart,0.8987739289796921,0.798079843082588,3.2955045144642243,depthwise,0.0051309764373428475,17,23,0.8760576948899583,COMPLETE
31,0.9750186892599052,2023-11-03 20:20:02.505092,2023-11-03 20:21:29.818382,0 days 00:01:27.313290,0.0014145931732309834,dart,0.9704193164300826,0.9731710950144027,3.2598534334510805,depthwise,0.001046248229292403,17,21,0.9718837531422273,COMPLETE
32,0.9471716920009967,2023-11-03 20:21:29.831381,2023-11-03 20:21:54.863638,0 days 00:00:25.032257,0.0018378599975642184,dart,0.9978819190433904,0.9599618673436103,2.970944804762518,depthwise,0.0017446001127809144,15,77,0.9979288378416284,PRUNED
33,0.9743022676302018,2023-11-03 20:21:54.873637,2023-11-03 20:23:26.158798,0 days 00:01:31.285161,0.001008890866138993,dart,0.9435097352096161,0.9292837704522501,3.4303382580512123,depthwise,0.0014249693877999244,19,18,0.921914483446456,COMPLETE
34,0.940443558435086,2023-11-03 20:23:26.169802,2023-11-03 20:23:49.796873,0 days 00:00:23.627071,0.0027610974287504393,dart,0.9680611623850481,0.8922517672987138,4.012099479293635,lossguide,0.0024992453058057837,7,51,0.9659618358779096,PRUNED
35,0.977915524545228,2023-11-03 20:23:49.806384,2023-11-03 20:24:01.089062,0 days 00:00:11.282678,0.0018959818313661818,gbtree,0.9182614580223903,0.9677646747399099,3.7292959670069576,depthwise,0.0016499064005292181,20,2,0.9722286503461374,COMPLETE
36,0.9782270122103165,2023-11-03 20:24:01.104072,2023-11-03 20:24:12.194681,0 days 00:00:11.090609,0.006961520525150426,gbtree,0.9280015777157203,0.9388425283101387,3.769159627721484,depthwise,0.00869562813777759,20,1,0.947553420282531,COMPLETE
37,0.9451781709444306,2023-11-03 20:24:12.218694,2023-11-03 20:24:15.296652,0 days 00:00:03.077958,0.008656018497356286,gbtree,0.9133498077932242,0.933858588246897,4.177873651066586,lossguide,0.008277512309696106,20,84,0.8917000677152778,PRUNED
38,0.9175180662845751,2023-11-03 20:24:15.318657,2023-11-03 20:24:17.434105,0 days 00:00:02.115448,0.013060048955212077,gbtree,0.8784530473341385,0.8935499911102777,3.8630094997627737,depthwise,0.010656825442169775,20,206,0.9446290869519907,PRUNED
39,0.9597557936705706,2023-11-03 20:24:17.461105,2023-11-03 20:24:20.186875,0 days 00:00:02.725770,0.00621756761543624,gbtree,0.8485967295659997,0.8545583213897772,3.737465649889594,depthwise,0.004032553200459765,20,38,0.8596632951253683,PRUNED
40,0.9313481186145028,2023-11-03 20:24:20.212883,2023-11-03 20:24:22.891550,0 days 00:00:02.678667,0.005179289811252014,gbtree,0.9005340542107818,0.9710458822878426,4.542677843340569,lossguide,0.0061194833469669216,19,126,0.903952356391971,PRUNED
41,0.9757662596561176,2023-11-03 20:24:22.916560,2023-11-03 20:24:33.915228,0 days 00:00:10.998668,0.002879439906859746,gbtree,0.9337046943834072,0.973363241005647,4.1439577680975965,depthwise,0.0021387110312954902,19,1,0.9733630952284035,COMPLETE
42,0.9556441564914029,2023-11-03 20:24:33.935668,2023-11-03 20:24:37.052008,0 days 00:00:03.116340,0.0017963744676609042,gbtree,0.9844995845201092,0.9992046452680314,3.617309129763233,depthwise,0.0035408616158125947,18,68,0.9774805955367158,PRUNED
43,0.9703463742835784,2023-11-03 20:24:37.071007,2023-11-03 20:24:39.804997,0 days 00:00:02.733990,0.31963482305125157,gbtree,0.9525410791981567,0.9455164918354158,3.98344378672212,depthwise,0.0015780315070018707,20,26,0.9424624023675162,PRUNED
44,0.9787565412409669,2023-11-03 20:24:39.831005,2023-11-03 20:24:51.712574,0 days 00:00:11.881569,0.002214887021418367,gbtree,0.98229983733556,0.945976480465713,3.154968601421965,depthwise,0.0023810277838921218,20,14,0.9772151179457453,COMPLETE
45,0.9258659357089459,2023-11-03 20:24:51.732580,2023-11-03 20:24:54.164118,0 days 00:00:02.431538,0.0020447598674768353,gbtree,0.9267476277618005,0.8730806645441729,3.0860070033949154,depthwise,0.0030916356560749384,20,163,0.9553829221985609,PRUNED
46,0.963742835783703,2023-11-03 20:24:54.184120,2023-11-03 20:24:57.204597,0 days 00:00:03.020477,0.008615814642310343,gbtree,0.7845434978272842,0.9083744306726382,2.6929144021983813,depthwise,0.006210531172260541,19,29,0.7028431442409036,PRUNED
